@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
125335.0, 5069.34521, 0.0612884313, 0.00487717846, 432.886871, 242.151657, 3.19575858, 43.0, 44.0, 53.0, 64.0, 42.0, 51.0, 65.0, 62.0, 77.0, 89.0, 28.0, 31.0, 41.0,'Stage 2'
19562.0, 859.875916, 0.332469314, 0.0264570657, 106.417854, 69.5506973, 2.34113264, 47.0, 46.0, 50.0, 58.0, 44.0, 49.0, 58.0, 69.0, 74.0, 83.0, 26.0, 29.0, 34.0,'Stage 1'
74205.0, 3034.07031, 0.101295866, 0.00806086883, 306.667999, 140.915161, 4.73610687, 51.0, 52.0, 58.0, 66.0, 50.0, 57.0, 66.0, 74.0, 83.0, 92.0, 32.0, 35.0, 42.0,'Stage 2'
43068.0, 2183.98096, 0.113466285, 0.00902936049, 165.470444, 117.169632, 1.99439299, 48.0, 46.0, 55.0, 70.0, 45.0, 56.0, 74.0, 64.0, 77.0, 95.0, 28.0, 34.0, 44.0,'Stage 1'
73161.0, 4273.625, 0.050338082, 0.00400577718, 309.632629, 181.587494, 2.90751243, 68.0, 69.0, 77.0, 100.0, 69.0, 81.0, 112.0, 102.0, 111.0, 138.0, 34.0, 40.0, 49.0,'Stage 2'
68486.0, 2879.64575, 0.10378474, 0.00825892761, 283.793732, 146.425629, 3.75639653, 66.0, 60.0, 67.0, 76.0, 58.0, 65.0, 77.0, 87.0, 95.0, 106.0, 35.0, 41.0, 47.0,'Stage 2'
30020.0, 1722.89087, 0.127088144, 0.0101133529, 149.426498, 115.7892, 1.66540194, 60.0, 50.0, 61.0, 77.0, 49.0, 62.0, 81.0, 69.0, 87.0, 103.0, 31.0, 37.0, 50.0,'Stage 1'
39230.0, 1877.17932, 0.139899656, 0.0111328606, 163.998734, 101.602585, 2.6053822, 48.0, 48.0, 56.0, 69.0, 46.0, 56.0, 72.0, 68.0, 78.0, 95.0, 30.0, 35.0, 41.0,'Stage 1'
83260.0, 2259.63574, 0.204912961, 0.0163064543, 225.292389, 143.868088, 2.45224667, 59.0, 59.0, 66.0, 76.0, 58.0, 67.0, 78.0, 88.0, 99.0, 112.0, 30.0, 34.0, 38.0,'Stage 2'
94523.0, 3440.07544, 0.100371733, 0.00798732881, 317.78537, 202.46904, 2.46348882, 61.0, 54.0, 61.0, 67.0, 53.0, 60.0, 68.0, 76.0, 87.0, 95.0, 33.0, 37.0, 42.0,'Stage 2'
75112.0, 2635.01367, 0.135941923, 0.0108179143, 257.496582, 145.863785, 3.11636281, 59.0, 51.0, 59.0, 70.0, 50.0, 59.0, 73.0, 72.0, 87.0, 100.0, 28.0, 32.0, 39.0,'Stage 2'
