@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
1454.0, 237.480225, 0.323980868, 0.0257815775, 46.7074203, 12.2824554, 14.4610996, 73.0, 54.0, 68.0, 82.0, 58.0, 74.0, 93.0, 70.0, 86.0, 101.0, 34.0, 44.0, 56.0,'Stage 1'
118032.0, 4941.83301, 0.060734231, 0.00483307661, 372.264832, 211.588608, 3.09541893, 98.0, 84.0, 95.0, 106.0, 92.0, 107.0, 121.0, 122.0, 139.0, 150.0, 34.0, 41.0, 50.0,'Stage 3'
2969.0, 427.747253, 0.203913316, 0.0162269063, 64.2168274, 28.1527901, 5.20301199, 58.0, 55.0, 69.0, 98.0, 57.0, 75.0, 107.0, 75.0, 89.0, 114.0, 33.0, 43.0, 71.0,'Stage 1'
48587.0, 2238.39087, 0.121859141, 0.00969724264, 203.173386, 145.601501, 1.94716144, 59.0, 55.0, 64.0, 78.0, 54.0, 64.0, 84.0, 79.0, 94.0, 109.0, 30.0, 34.0, 43.0,'Stage 1'
74079.0, 2955.17798, 0.106595211, 0.00848257728, 272.767181, 155.234924, 3.08748865, 60.0, 61.0, 72.0, 91.0, 62.0, 74.0, 99.0, 92.0, 103.0, 131.0, 30.0, 36.0, 45.0,'Stage 2'
24094.0, 2257.71899, 0.0593989864, 0.00472682109, 200.151886, 131.007019, 2.33415794, 90.0, 92.0, 104.0, 116.0, 100.0, 116.0, 130.0, 130.0, 142.0, 157.0, 45.0, 53.0, 63.0,'Stage 4'
40263.0, 1949.73254, 0.133096278, 0.010591465, 205.486267, 98.7003098, 4.33439589, 80.0, 60.0, 76.0, 84.0, 59.0, 82.0, 92.0, 87.0, 108.0, 119.0, 31.0, 36.0, 45.0,'Stage 2'
49171.0, 3197.4187, 0.0604393668, 0.00480961194, 195.337173, 143.21373, 1.86037493, 89.0, 87.0, 95.0, 107.0, 100.0, 111.0, 126.0, 122.0, 137.0, 152.0, 35.0, 40.0, 49.0,'Stage 4'
3566.0, 609.444275, 0.120648861, 0.00960093085, 81.694313, 71.7231827, 1.29737234, 112.0, 94.0, 107.0, 118.0, 102.0, 119.0, 133.0, 125.0, 143.0, 155.0, 52.0, 60.0, 70.0,'Stage 1'
47402.0, 2134.6438, 0.130724102, 0.0104026934, 152.343338, 138.940247, 1.20223904, 56.0, 52.0, 58.0, 72.0, 50.0, 57.0, 71.0, 76.0, 85.0, 97.0, 29.0, 35.0, 47.0,'Stage 1'
168007.0, 6724.66553, 0.0466869883, 0.00371523248, 480.299652, 338.093414, 2.01813912, 87.0, 78.0, 86.0, 96.0, 83.0, 92.0, 106.0, 114.0, 124.0, 134.0, 36.0, 42.0, 50.0,'Stage 4'
54312.0, 3117.66968, 0.0702175125, 0.00558773195, 272.253296, 129.625732, 4.41127205, 68.0, 68.0, 73.0, 108.0, 70.0, 77.0, 124.0, 101.0, 108.0, 147.0, 32.0, 38.0, 49.0,'Stage 3'
30633.0, 4190.41553, 0.0219222549, 0.00174451771, 349.314484, 109.210503, 10.2306776, 112.0, 106.0, 111.0, 116.0, 126.0, 133.0, 146.0, 142.0, 151.0, 161.0, 41.0, 45.0, 51.0,'Stage 4'
21436.0, 1828.56982, 0.0805620551, 0.00641092472, 152.177979, 99.6978302, 2.32987309, 75.0, 71.0, 76.0, 87.0, 71.0, 78.0, 92.0, 101.0, 111.0, 122.0, 37.0, 42.0, 52.0,'Stage 1'
69700.0, 3919.10449, 0.0570254773, 0.00453794328, 267.442169, 193.561584, 1.90906835, 101.0, 95.0, 102.0, 110.0, 104.0, 113.0, 123.0, 136.0, 146.0, 156.0, 41.0, 46.0, 55.0,'Stage 3'
60697.0, 4166.31299, 0.0439413451, 0.00349674118, 367.907349, 183.802887, 4.00656557, 105.0, 94.0, 102.0, 110.0, 105.0, 116.0, 128.0, 135.0, 144.0, 155.0, 40.0, 44.0, 51.0,'Stage 4'
17993.0, 1217.08508, 0.152641118, 0.0121467942, 99.0924988, 90.3539581, 1.20278287, 63.0, 58.0, 67.0, 82.0, 60.0, 71.0, 89.0, 84.0, 98.0, 113.0, 29.0, 34.0, 47.0,'Stage 1'
42348.0, 3128.98145, 0.0543546602, 0.00432540616, 286.618866, 136.183746, 4.4295435, 104.0, 89.0, 104.0, 114.0, 109.0, 121.0, 131.0, 114.0, 142.0, 155.0, 43.0, 50.0, 58.0,'Stage 4'
37335.0, 2797.95337, 0.0599301122, 0.00476908684, 273.464203, 72.6294785, 14.1767006, 104.0, 93.0, 103.0, 112.0, 108.0, 122.0, 134.0, 134.0, 145.0, 155.0, 34.0, 41.0, 51.0,'Stage 4'
73631.0, 3524.24878, 0.0744967684, 0.00592826447, 243.88501, 170.169403, 2.05403256, 67.0, 65.0, 73.0, 93.0, 65.0, 75.0, 102.0, 99.0, 109.0, 127.0, 31.0, 36.0, 49.0,'Stage 2'
690.0, 141.740112, 0.431592017, 0.034345001, 23.3987427, 10.3692627, 5.0920105, 76.0, 76.0, 83.0, 103.0, 83.0, 91.0, 118.0, 105.0, 111.0, 125.0, 40.0, 46.0, 65.0,'Stage 1'
122179.0, 5693.43506, 0.0473650135, 0.00376918796, 434.099854, 232.650452, 3.48154116, 79.0, 76.0, 87.0, 103.0, 81.0, 94.0, 116.0, 114.0, 127.0, 148.0, 33.0, 39.0, 47.0,'Stage 3'
3041.0, 324.246307, 0.363476366, 0.0289245304, 89.5329895, 25.5806961, 12.2501526, 69.0, 59.0, 72.0, 95.0, 61.0, 78.0, 102.0, 83.0, 99.0, 118.0, 34.0, 42.0, 66.0,'Stage 1'
40857.0, 2384.5105, 0.0902979523, 0.00718568265, 188.158569, 124.082153, 2.29947853, 84.0, 83.0, 90.0, 101.0, 88.0, 99.0, 115.0, 123.0, 130.0, 139.0, 39.0, 43.0, 52.0,'Stage 2'
63488.0, 5435.44971, 0.0270041544, 0.0021489223, 375.38855, 175.252945, 4.5880847, 110.0, 98.0, 106.0, 113.0, 110.0, 119.0, 129.0, 140.0, 150.0, 159.0, 41.0, 48.0, 55.0,'Stage 4'
